Z轴	Z-axis
一元一次不等式	UnaryLinearInequality
一元一次不等式组	UnaryLinearInequalityGroup
一元一次方程	UnaryLinearEquation
一元二次不等式	UnaryQuadraticInequality
一元二次不等式组	SystemofunaryQuadraticInequalityGroup
一元二次方程	UnaryQuadraticEquation
一元多项式	UnaryPolynomial
一次二项式	LinearBinomial
一次函数	LinearFunction
一次方程	LinearEquation
一般式	GeneralEquation
一般方程	GeneralEquation
七棱台	HeptagonalFrustumOfPyramid
七棱柱	HeptagonalPrism
七棱锥	HeptagonalPyramid
七边形	Heptagon
七面体	Heptahedron
三位数	ThreeDigits
两位数	TwoDigits
四位数	FourDigits
五位数	FiveDigits
六位数	SixDigits
七位数	SevenDigits
八位数	EightDigits
九位数	NightDigits
十位数	TenDigits
三棱柱	TriangularPrism
三棱锥	TriangularPyramid
三棱台	TriangularFrustumOfPyramid
三元一次方程	TernaryLinearEquations
三元一次方程组	TernaryLinearEquationGroup
三元线性方程组	TernarySystemOfLinearEquationGroup
三元齐次线性方程组	TernaryHomogeneousLinearEquationGroup
三次函数	CubicFunction
三次方程	CubicEquation
三角不等式	TriangleInequality
三角函数	TrigonometricFunction
三阶行列式	ThirdOrderDeterminant
不可能事件	ImpossibleEvent
不定积分	IndefiniteIntegral
不等边三角形	ScaleneTriangle
两点式方程	TwoPointEquation
中间变量	IntermediateVariable
主动点	MainDynamicPoint
九边形	Nonagon
九面体	Enneahedron
二元一次不等式	BinaryLinearInequality
二元一次不等式组	BinaryLinearInequalityGroup
二元一次方程	BinaryLinearEquation
二元一次方程组	BinaryLinearEquationGroup
二元二次方程	BinaryQuadraticEquation
二元二次方程组	BinaryQuadraticEquationGroup
二元线性方程组	BinarySystemOfLinearEquation
二十面体	Icosahedron
二次三项式	QuadraticTrinomial
二次函数	QuadraticFunction
二次方程	QuadraticEquation
二阶矩阵	SecondOrderMatrix
二阶行列式	SecondOrderDeterminant
二项展开式	BinomialExpansion
二项式	Binomial
五棱台	PentagonalFrustumOfPyramid
五棱柱	PentagonalPrism
五棱锥	PentagonalPyramid
五边形	Pentagon
五面体	Pentahedron
代数式	AlgebraicExpression
仰角	ElevationAngle
众数	Mode
余切曲线	CotangentCurve
余弦曲线	CosineCurve
余数	Remainder
侧棱	ChamferedEdge
俯角	DepressionAngle
假分数	ImproperFraction
假命题	FalseProposition
偏微分方程	PartialDifferentialEquation
偶数	Even
偶数集	EvenSet
充分不必要条件	UnNecessaryAndSufficientCondition
充分条件	SufficientCondition
充要条件	NecessaryAndSufficientCondition
全等三角形	CongruentTriangle
八棱台	OctolateralFrustumOfPyramid
八棱柱	OctolateralPrism
八棱锥	OctolateralPyramid
八边形	Octagon
八面体	Octahedron
公共边	PublicEdge
公式	Formula
式子	Formula
算式	Formula
六棱台	HexagonalFrustumOfPyramid
六棱柱	HexagonalPrism
六棱锥	HexagonalPyramid
六边形	Hexagon
六面体	Hexahedron
共轭双曲线	ConjugateHyperbola
准偶函数	MustEvenFunction
准线	Directrix
减函数	DecreasingFunction
凸函数	ConvexFunction
凸多面体	ConvexPolyhedron
凸多面角	ConvexPolyhedralAngle
凹函数	ConcaveFunction
分子	Molecular
分式	Fractional
分式不等式	FractionalInequalities
分数	Fraction
分段函数	PiecewiseFunction
分母	Denominator
切线	Tangent
列向量	ColumnVector
初等函数	ElementaryFunction
前提条件	PremiseCondition
加权平均值	WeightedAverage
动圆	DynamicCircle
动曲线	DynamicCurve
动直线	DynamicStraightLine
十一边形	Hendecagon
十一面体	Hendecahedron
十二边形	Dodecagon
十二面体	Dodecahedron
十边形	Decagon
十面体	Decahedron
半圆	Semicircle
半球	Hemisphere
单位向量	UnitVector
单位圆	UnitCircle
单位正方体	UnitCube
单位矩阵	UnitMatrix
单峰函数	UnimodalFunction
单项式	Monomial
原函数	PrimitiveFunction
原命题	OriginalProposition
原式	OriginalType
原方程	OriginalEquation
参变量	Parameter
参数方程	ParametricEquation
反比例函数	InverseProportionalFunction
可数集	CountableSet
可数集合	CountableSet
合数	CompositeNumber
同心圆	ConcentricCircles
否命题	NegativeProposition
命题	Proposition
四元线性方程组	QuaternarySystemOfLinearEquations
四棱台	QuadrilateralFrustumOfPyramid
四棱柱	Quadrangular
四次方程	QuarticEquation
四阶行列式	FourOrderDeterminants
四面体	Tetrahedron
回归方程	RegressionEquation
回归直线	RegressionLine
回归直线方程	RegressionEquationOfStraightLine
因变量	DependentVariable
图表	Graph
图象	Graphic
圆台	FrustumOfCone
圆形	Circle
圆心角	CentralAngle
圆柱	Cylinder
圆柱面	CylindricalSurface
圆锥	Cone
圆锥曲线	Conic
均匀随机数	UniformRandomNumber
坐标原点	Origin
坐标平面	CoordinatePlane
坐标系	CoordinateSystem
基本事件	BasicEvent
基本初等函数	BasicElementaryFunction
复合函数	CompositeFunction
复平面	ComplexPlane
复数集	PluralSet
外接圆	CircumscribedCircle
多边形	Polygon
多项式	Polynomial
奇偶性	Parity
奇数	Odd
奇数集	SetOfOdd
定点	FixedPoint
定积分	DefiniteIntegral
定长	FixedLength
实数集	RealNumberSet
实根	RealRoot
实数根	RealRoot
实系数多项式	PolynomialWithRealCoefficients
实轴	RealAxis
实部	RealComponent
对数函数	LogarithmicFunction
对数方程	LogarithmicEquation
对称性	Symmetry
对称轴	AxisOfSymmetry
对角线	Diagonal
导函数	DerivedFunction
导数	Derivative
射影	Projective
正射影	PositiveProjective
射线	Radial
差向量	DifferenceVector
带分数	MixedNumber
常数列	ConstantSequence
常数项	ConstantTerm
常用对数	CommonLogarithm
常量	Constant
幂函数	PowerFunction
平行六面体	ParallelHexahedron
平行四边形	ParallelQuadrangle
平角	StraightAngle
平面向量	PlaneVector
底数	Base
弦	String
弧	Arc
循环小数	RecurringDecimal
微分方程	DifferentialEquation
必然现象	InevitablePhenomenon
必要条件	NecessaryCondition
总体	Overall
总体密度曲线	OverallDensityCurve
恒等式	Identity
截距式	InterceptForm
扇形	Sector
抽象函数	AbstractFunction
指数	Index
指数函数	ExponentialFunction
指数型函数	ExponentialFunction
指数方程	ExponentialEquations
摆动数列	SwingSequence
数	Number
数轴	NumberAxis
数集	NumberSet
整式	IntegralEquation
整数列	IntegerSequence
整数集	IntegerSet
斜三角形	ObliqueTriangle
斜截式	SlopeInterceptForm
斜棱柱	ObliquePrism
斜边	Hypotenuse
方位角	Azimuth
方向向量	DirectionVector
方向角	DirectionAngle
方程组	EquationGroup
旋转体	Revolver
旋转面	SurfaceOfRevolution
无理式	IrrationalExpression
无理数	IrrationalNumber
无理方程	IrrationalEquation
无穷大	Infinity
无穷小数	InfiniteDecimal
无穷数列	InfiniteSequence
普通方程	OrdinaryEquation
曲线	Curve
曲边梯形	CurvedTrapezoid
最大公约数	GreatestCommonDivisor
最小公倍数	LeastCommonMultiple
最短弦	ShortestString
最长弦	LongestString
最长棱	LongestEdge
有向线段	DirectedLineSegment
有序实数组	OrderedRealNumberSet
有理式	RationalExpression
有理数集	RationalNumberSet
有理方程	RationalEquation
有穷数列	FiniteSequence
未知数	Unknown
极坐标方程	PolarEquation
极坐标系	PolarCoordinate
极点	Pole
极轴	PolarAxis
标准双曲线	StandardHyperbolic
标准式	NormalEquation
标准方程	StandardEquation
标准椭圆	StandardEllipse
样本	Sample
样本容量	SampleSize
梯形	Trapezoid
棱台	FrustumOfPrism
棱柱	Prism
棱锥	Pyramid
概率公式	ProbabilityFormula
概率计算公式	ProbabilityCalculationFormula
横坐标	Abscissa
正七棱柱	RegularHeptagonalPrism
正七边形	RegularHeptagon
正三棱柱	RegularTriangularPrism
正三棱锥	RegularTriangularPyramid
正三角形	RegularTriangle
正五棱柱	RegularPentagonalPrism
正五边形	RegularPentagon
正偶数	PositiveEven
正八棱柱	RegularOctolateralPrism
正八边形	RegularOctagon
正六棱柱	RegularHexagonalPrism
正六边形	RegularHexagon
正分数	PositiveFraction
正切曲线	RegularTangentCurve
正四棱柱	RegularSquarePrism
正四棱锥	RegularSquarePyramid
正多边形	RegularPolygon
正多面体	RegularPolyhedron
正弦曲线	SineCurve
正态分布	NormalDistribution
正态曲线	NormalCurve
正数	PositiveNumber
正整数集	PositiveIntegerSet
正根	PositiveRoot
正梭柱	RegularPrism
正棱台	RegularPrismoid
正棱锥	RegularPyramid
正比例函数	PercentageFunction
正角	PositiveAngle
流程图	FlowChart
渐近线	Asymptote
点斜式	PointSlopeForm
点集	PointSet
焦距	FocalLength
特征向量	FeatureVector
特征方程	CharacteristicEquation
特殊元素	SpecialElement
特殊数列	SpecialSequence
环	Ring
目标函数	ObjectiveFunction
直三棱柱	StraightTriangularPrism
直三角面	StraightTrianglePlane
直二面角	StraightDihedralAngle
直径	Diameter
直方图	Histogram
直棱柱	Prism
直角	RightAngle
直角三角形	RightTriangle
直角坐标系	RectangularCoordinate
直角梯形	RightTrapezoid
相等事件	EqualEvent
真分数	ProperFraction
真命题	TrueProposition
矩阵	Matrix
确定事件	CertainEvent
离散型	Discrete
秦九韶算法	Chiu-ShaoAlgorithm
积分	Integral
程序框图	ProgramFlowchart
空间	Space
空间向量	SpaceVector
空间直角坐标系	SpaceRectangularCoordinateSystem
空集	EmptySet
立体几何定理	SolidGeometryorem
立方体	Cube
正方体	Cube
第一象限	FirstQuadrant
第一象限角	FirstQuadrantAngle
第三象限	ThirdQuadrant
第三象限角	ThirdQuadrantAngle
第二象限	SecondQuadrant
第二象限角	SecondQuadrantAngle
第四象限	FourthQuadrant
第四象限角	ForthQuadrantAngle
等可能基本事件	EqualPossibleBasicEvent
等差中项	ArithmeticMean
等式	Equation
等腰三角形	IsoscelesTriangle
等腰梯形	IsoscelesTrapezoid
等腰直角三角形	IsoscelesRightTriangle
等轴双曲线	RectangularHyperbola
简单随机抽样	SimpleRandomSampling
简易方程	SimpleEquation
系统抽样	SystematicSampling
累计频数	CumulativeFrequency
繁分数	ComplexFraction
纯小数	DecimalFraction
纯虚数	PureImaginary
纯虚数集	PureImaginarySet
纵坐标	Ordinate
纵轴	Y-Axis
线	Line
线性回归方程	LinearRegressionEquation
线性方程	LinearEquation
线性方程组	LinearSystemOfEquations
绝对值不等式	AbsoluteValueInequality
自变量	IndependentVariable
自然对数	NaturalLogarithm
菱形	Rhombus
行列式	Determinant
被动点	PassivePoint
被积函数	Integrand
负分数	NegativeScores
负半轴	NegativeHalfShaft
负数	NegativeNumber
负整数	NegativeInteger
负角	NegativeAngle
质因数	PrimeNumber
质数	PrimeNumber
赋值号	AssignmentNumber
赋值法	AssignmentMethod
距离公式	DistanceFormula
辅助线	AuxiliaryLine
辅助角	AuxiliaryAngle
边	Edge
棱	Edge
连分数	ContinuedFraction
连续函数	ContinuousFunction
连续数	Consecutive
连续整数	ConsecutiveNumber
逆否命题	ConverseNegativeProposition
逆命题	ConverseProposition
逆矩阵	InverseMatrix
递减数列	DescendingSequence
逻辑关系	LogicalRelationship
钝角	ObtuseAngle
钝角三角形	ObtuseTriangle
锐角	AcuteAngle
锐角三角形	AcuteTriangle
长方体	Cuboid
长方形	Rectangle
随机事件	RandomEvent
随机变量	RandomVariable
随机性	Randomness
随机数	RandomNumber
随机现象	RandomPhenomenon
零向量	ZeroVector
零点	ZeroPoint
零矩阵	ZeroMatrix
零角	ZeroAngle
零项	ZeroItem
非奇非偶函数	NonSingularNonEvenFunction
非正态分布	AbnormalDistribution
非空子集	LoopholeSet
非空数集	NonEmptySet
非空集	NonEmptySet
非空集合	NonEmptySet
非空真子集	NonEmptyProperSubset
非纯虚数	NonpureImaginaryNumber
非负数	NonNegativeNumber
非零常数	NonZeroConstant
面	Plane
顶点式	VertexEquation
频数	Frequency
频率	Frequency
频率分布直方图	FrequencyDistributionHistogram
频率分布直线图	FrequencyDistributionLineDiagram
频率分布表	FrequencyDistributionTable
高	Height
齐次分式	HomogeneousFractional
函数	Function
直线	Line
抛物线	Parabola
焦点	Focus
图形	Patterning
数列	Sequence
定义域	Domain
奇函数	OddFunction
偶函数	EvenFunction
虚数	ImaginaryNumber
复数	ComplexNumber
共轭复数	ConjugateComplex
集合	Set
正方形	Square
平面	Plane
点	Point
坐标	Coordinate
自然数	NaturalNumbers
实数	RealNumber
y轴	Y-axis
增函数	IncreasingFunction
单调性	Monotonic
方程	Equation
单调函数	MonotonicFunction
单调增函数	MonotonicIncreasingFunction
单调减函数	MonotonicDecreasingFunction
周期函数	PeriodicFunction
常数	Constant
x轴	X-axis
解集	SolutionSet
正整数	PositiveInteger
有理数	RationalNumber
虚数单位	UnitOfImaginaryNumber
全集	UniversalSet
元素	Element
几何体	Geometry
体积	Volume
球	Sphere
球面	SphericalSurface
二面角	DihedralAngle
平面角	PlaneAngle
角	Angle
多面体	Polyhedron
四边形	Quadrangle
矩形	Rectangle
线段	LineSegment
锐二面角	AcuteDihedralAngle
椭圆	Ellipse
离心率	Eccentricity
距离	Distance
等比数列	GeometricSequence
单调递减数列	MonotoneDecreasingSequence
首项	FirstTerm
等差数列	ArithmeticSequence
整数	Integer
递增数列	AscendingSequence
无穷等比数列	InfiniteGeometricSequence
不等式组	SystemOfInequalities
变量	Parameter
不等式	Inequality
圆	Circle
原点	Origin
非零向量	NonzeroVector
四棱锥	RectangularPyramid
最大数	MaximumNumber
三角形	Triangle
双曲线	Hyperbola
充分而不必要条件	UnnecessaryAndSufficientCondition
必要而不充分条件	NecessaryNotSufficientCondition
充分必要条件	NecessaryAndSufficientCondition
等边三角形	EquilateralTriangle
位置关系	LocationRelation
包含零点的区间	IncludeZeroOfInterval
向量	Vector
函数的方程	EquationOfFunction
抛物线的焦点	FocusOfParabola
过	Through
所围成	Enclose
围成	Enclose
面积	Area
图形的面积	AreaOfPatterning
等于	Equal
数列的前n项和	SumOfPreNOfSequence
通项公式	GeneralFormulas
＝	Equal
前n项和	SumOfPreN
数列的通项公式	GeneralFormulasOfSequence
正确的是	WhichIsRight
函数的定义域	DomainOfFunction
虚数的单位	UnitOfImaginaryNumber
单位	Unit
复数的共轭复数	ConjugateComplexOfComplex
=	Equal
为	Equal
正方形的边长	EdgeLengthOfSquare
边长	EdgeLength
边的中点	MidpointOfEdge
中点	Midpoint
交于	Intersect
边长的值	ValueOfEdgeLength
求	Asking
值	Value
方程的值	ValueOfEquation
棱的中点	MidpointOfEdge
关系式	RelationalExpression
展开式	ExpandedFormular
点的位置	LocationOfPoint
位置	Location
如图	InDrawing
大于	GreaterThan
函数的最小值	MinimalValueOfFunction
最小值	MinimalValue
实数的值	ValueOfRealNumber
>	GreaterThan
<	LessThan
垂直	Perpendicular
不满足	Dissatisfaction
解析式	AnalysisFormula
函数的最小正周期	LeastPositivePeriodOfFunction
最小正周期	LeastPositivePeriod
函数的解析式	AnalysisFormulaOfFunction
区间	Interval
求证	Demonstrate
证明	Demonstrate
最大值	MaximalValue
null的最大值	MaximumOfParameter
实数的取值范围	ValueRangeOfRealNumbers
取值范围	ValueRange
null的方程	EquationOfFunction
null的值	ValueOfParameter
?	Asking
?1	Asking1
?2	Asking2
?3	Asking3
null的取值范围	ValueRangeOfParameter
null的单调区间	MonotonicIntervalOfFunction
单调区间	MonotonicInterval
有	Have
函数的单调区间	MonotonicIntervalOfFunction
null的最小正周期	LeastPositivePeriodOfFunction
交点	Intersection
方程的解集	SolutionSetOfEquation
null的解集	SolutionSetOfEquation
函数的最大值	MaximalValueOfFunction
函数的反函数	InverseFunctionOfFunction
反函数	InverseFunction
函数的单调性	MonotonicOfFunction
函数的单调递增区间	MonotonicIncreasingIntervalOfFunction
函数的单调递减区间	MonotonicDecreasingIntervalOfFunction
null的单调递增区间	MonotonicIncreasingIntervalOfFunction
null的单调递减区间	MonotonicDecreasingIntervalOfFunction
单调递增区间	MonotonicIncreasingInterval
单调递减区间	MonotonicDecreasingInterval
单调递增	MonotonicIncreasing
单调递减	MonotonicDecreasing
∈	BelongTo
极大值	MaximumValue
函数的极大值	MaximumValueOfFunction
极小值	MinimumValue
函数的极小值	MinimumValueOfFunction
值域	ValueDomain
函数的值域	ValueDomainOfFunction
函数的极大值点	MaximumValuePointOfFunction
null的极大值点	MaximumValuePointOfFunction
极大值点	MaximumValuePoint
函数的极小值点	MinimumValuePointOfFunction
极小值点	MinimumValuePoint
null的极小值点	MinimumValuePointOfFunction
图像	Graphic
相等	Equal
函数的图像	GraphicOfFunction
图像的最大值	MaximalValueOfGraphic
图像的最小值	MinimalValueOfGraphic
∩	IntersectionSet
