=	=
\triangle	三角形	Combination
\parallel	$\parallel$	Predicate
\perp	$\perp$	Predicate
#(?<!sin|cos|tan|cot)\\angle	角	Combination
\in	∈	Predicate
\forall	$\forall$	StopWord
:	:	StopWord
\subset	$\subset$	Predicate
\supset	$\supset$	Predicate
\subseteq	$\subset$	Predicate
\supseteq	$\supset$	Predicate
#\\\{.+?\|.+?\\\}	#symbol	Combination
\exists	$\exists$	StopWord	
\neq	$\neq$	Predicate
\leq	$\leq$	Predicate
＞	>	Predicate
＜	<	Predicate
\leq	$\leq$	Predicate
\le	$\leq$	Predicate
\geq	$\geq$	Predicate
\ge	$\geq$	Predicate
\varparallel	$\parallel$	Predicate
\supsetneqq	$\supsetneqq$	Predicate
\subsetneqq	$\subsetneqq$	Predicate
1,2,\cdots	#symbol	Combination
\odot	圆	Combination
#\{\\emptyset\}	{\emptyset}	Combination
##\emptyset	\emptyset	Combination
\textgreater	>	Predicate
\textless	<	Predicate
\vee	$\vee$	Predicate
\lor	$\lor$	Predicate
\wedge	$\wedge$	Predicate
\land	$\land$	Predicate
#[（(]\\neg[qp][)）]	#system	Predicate
\vartriangle	三角形	Combination
\bigodot	圆	Combination
#([a-zA-Z0-9\+\-]+,)+\.\.\.([a-zA-Z0-9]+,)?	#system	Combination
